ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier Part	Price
"1"	"8199-3"	"12VIN+,12VIN-"	"TERMINALS_C238179"	"2"	"8199-3"	"Keystone"	"C238179"	"0.175"
"2"	"0.1u"	"C1,C2"	"C0805"	"2"	""	""	""	""
"3"	"0.33u"	"C3"	"C0805"	"1"	""	""	""	""
"4"	"OUT"	"OUT1"	"CONN-TH_2P-P5.08_1757242"	"1"	"1757242"	"Phoenix Contact(菲尼克斯)"	"C90074"	"0.051"
"5"	"12V"	"D1"	"ONSC-SOD-123-2-425-04_V"	"1"	""	""	""	""
"6"	"12v"	"D2"	"ONSC-SOD-123-2-425-04_V"	"1"	""	""	""	""
"7"	"1N4007"	"D3,D10"	"LED0805-RD"	"2"	"?"	""	""	""
"8"	"0154010.DR"	"F1"	"FUSE-SMD_L9.7-W5.0"	"1"	"0154010.DR"	"Littelfuse(美国力特)"	"C206921"	"0.232"
"9"	"K2-3.6×6.1_SMD"	"KEY1"	"KEY-SMD_2P-L6.2-W3.6-LS8.0"	"1"	"K2-1107ST-A4SW-06"	""	"C118141"	"0.011"
"10"	"IPD90P03P4L-04"	"Q1,Q2"	"PG-TO252-3_L6.3-W6.5-P4.57-LS10.0-BR-CW"	"2"	"IPD90P03P4L-04"	"Infineon Technologies"	"C536913"	"0.402"
"11"	"BC547"	"Q3,Q5"	"TO-92"	"2"	"?"	""	""	""
"12"	"1k"	"R9,R10,R11,R12"	"R0805"	"4"	"?"	""	""	""
"13"	"1M"	"R2"	"R0805"	"1"	""	""	""	""
"14"	"86k6"	"R3"	"R0805"	"1"	""	""	""	""
"15"	"953k"	"R6"	"R0805"	"1"	""	""	""	""
"16"	"102k"	"R7"	"R0805"	"1"	""	""	""	""
"17"	"100k"	"R8"	"R0805"	"1"	""	""	""	""
"18"	"Omron-G5LE-Relay_SPDT"	"RL2,RL1"	"OMRON_G5LE_SPDT_RELAY"	"2"	"?"	""	""	""
"19"	"MAX8212CSA+T"	"U1"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"1"	"MAX8212CSA+T"	"MAXIM(美信)"	"C2067157"	"0.481"
"20"	"INA219 Current Sensor BreakOut"	"U2"	"INA219-6PINS"	"1"	"INA219"	""	""	""
"21"	"LM7805AL-TA3-T"	"U4"	"TO-220-3_L10.0-W4.5-P2.54-L"	"1"	"LM7805AL-TA3-T"	"UTC(友顺)"	"C427632"	"0.045"
"22"	"PC817"	"U5,U6"	"DIP4"	"2"	"?"	""	""	""
"23"	"RELAY OUT 2"	"OUT2,OUT3"	"CONN-TH_2P-P5.08_1757242"	"2"	"1757242"	"Phoenix Contact(菲尼克斯)"	"C90074"	"0.051"
"24"	"0"	"R4"	"R0805"	"1"	""	""	""	""
"25"	"100"	"R5"	"R0805"	"1"	""	""	""	""
"26"	"HDR-F-2.54_1x1"	"3V3,5V,A0,D0,D5,D6,D7,D8,GND,RX,TX"	"HDR-M-2.54_1X1"	"11"	""	""	"C81276"	"0.001"
"27"	"HDR-F-2.54_1x15"	"J12,J13"	"HDR-F-2.54_1X15"	"2"	""	""	"C124373"	"0.018"
"28"	"HDR-M-2.54_1x2"	"H1"	"HDR-M-2.54_1X2"	"1"	""	""	"C49661"	"0.006"
"29"	"10"	"R1"	"R0805"	"1"	""	""	""	""
